"","id","hexaco1","hexaco2","hexaco3","hexaco4","hexaco5","hexaco6","hexaco7","hexaco8","hexaco9","hexaco10","hexaco11","hexaco12","hexaco13","hexaco14","hexaco15","hexaco16","hexaco17","hexaco18","hexaco19","hexaco20","hexaco21","hexaco22","hexaco23","hexaco24","hexaco25","hexaco26","hexaco27","hexaco28","hexaco29","hexaco30","hexaco31","hexaco32","hexaco33","hexaco34","hexaco35","hexaco36","hexaco37","hexaco38","hexaco39","hexaco40","hexaco41","hexaco42","hexaco43","hexaco44","hexaco45","hexaco46","hexaco47","hexaco48","hexaco49","hexaco50","hexaco51","hexaco52","hexaco53","hexaco54","hexaco55","hexaco56","hexaco57","hexaco58","hexaco59","hexaco60","hexaco61","hexaco62","hexaco63","hexaco64","hexaco65","hexaco66","hexaco67","hexaco68","hexaco69","hexaco70","hexaco71","hexaco72","hexaco73","hexaco74","hexaco75","hexaco76","hexaco77","hexaco78","hexaco79","hexaco80","hexaco81","hexaco82","hexaco83","hexaco84","hexaco85","hexaco86","hexaco87","hexaco88","hexaco89","hexaco90","hexaco91","hexaco92","hexaco93","hexaco94","hexaco95","hexaco96","hexaco97","hexaco98","hexaco99","hexaco100","hexaco101","hexaco102","hexaco103","hexaco104","hexaco105","hexaco106","hexaco107","hexaco108","hexaco109","hexaco110","hexaco111","hexaco112","hexaco113","hexaco114","hexaco115","hexaco116","hexaco117","hexaco118","hexaco119","hexaco120","hexaco121","hexaco122","hexaco123","hexaco124","hexaco125","hexaco126","hexaco127","hexaco128","hexaco129","hexaco130","hexaco131","hexaco132","hexaco133","hexaco134","hexaco135","hexaco136","hexaco137","hexaco138","hexaco139","hexaco140","hexaco141","hexaco142","hexaco143","hexaco144","hexaco145","hexaco146","hexaco147","hexaco148","hexaco149","hexaco150","hexaco151","hexaco152","hexaco153","hexaco154","hexaco155","hexaco156","hexaco157","hexaco158","hexaco159","hexaco160","hexaco161","hexaco162","hexaco163","hexaco164","hexaco165","hexaco166","hexaco167","hexaco168","hexaco169","hexaco170","hexaco171","hexaco172","hexaco173","hexaco174","hexaco175","hexaco176","hexaco177","hexaco178","hexaco179","hexaco180","hexaco181","hexaco182","hexaco183","hexaco184","hexaco185","hexaco186","hexaco187","hexaco188","hexaco189","hexaco190","hexaco191","hexaco192","hexaco193","hexaco194","hexaco195","hexaco196","hexaco197","hexaco198","hexaco199","hexaco200","sample","missing_hexacoitems","missing_demographics","retain","sincerity","fearfulness","socialselfesteem","forgiveness","organization","aestheticappreciation","fairness","anxiety","socialboldness","gentleness","diligence","inquisitiveness","greedavoidance","dependence","sociability","flexibility","perfectionism","creativity","modesty","sentimentality","liveliness","patience","prudence","unconventionality","altruism","honestyhumility","emotionality","extraversion","agreeableness","conscientiousness","openness","other","matched","hexaco_global_ml","hexaco_global_pca","hexaco_global_unit","hexaco_items_global_ml","mahalanobis_distance_applicant","mahalanobis_distance_research","proximity_to_ideal_applicant","proximity_to_ideal_research","modal_distance_applicant","modal_proximity_applicant","prop_extreme","weighted_desirability","mean_agreement"
"362",101128,2,1,5,4,4,1,2,4,5,4,5,5,2,1,4,4,5,1,1,1,1,1,5,5,4,5,5,2,5,5,5,2,2,4,5,2,4,2,2,2,1,1,4,4,5,1,2,2,1,5,5,4,4,2,1,4,4,4,5,5,2,1,4,2,4,4,5,2,5,4,1,5,2,5,2,5,4,2,2,4,3,4,4,4,1,5,2,2,4,4,2,2,4,4,4,2,1,3,2,4,4,4,2,4,3,4,2,2,1,2,5,4,2,4,1,4,4,4,4,4,1,1,2,4,2,1,5,4,4,4,2,4,1,4,4,4,1,5,1,2,5,2,4,4,4,2,2,2,2,4,2,4,4,4,2,2,1,2,2,1,5,4,2,4,2,5,2,4,1,4,2,4,2,2,2,2,2,2,2,1,1,4,5,2,5,2,1,5,1,5,2,1,4,4,4,5,5,2,1,2,"research",0,0,TRUE,3.5,1.5,4.375,3.875,3.875,3.625,4.125,2.75,3.875,3.75,4.375,3.625,4.375,1.625,4.25,3.375,4.625,4.375,4.625,3.25,4.375,4,4.25,4.375,4.375,4.15625,2.28125,4.21875,3.75,4.28125,4,4.375,TRUE,1.11053764349741,1.45579148774485,18.125,0.751682890983649,397.858004817132,233.652863048508,-397.858004817132,-233.652863048508,0.685,-0.685,0.35,0.255425839514026,3.045
"364",100299,2,1,5,4,4,2,1,2,5,4,5,2,4,2,4,2,2,2,2,4,2,1,4,5,4,2,4,4,5,5,5,2,2,4,4,2,5,2,2,4,4,2,4,4,4,2,4,2,2,4,4,5,3,4,1,4,4,5,4,4,2,2,4,4,2,2,4,4,5,5,2,2,4,4,2,4,2,4,1,4,2,2,4,2,3,4,2,5,2,2,2,2,2,4,4,2,2,4,2,4,4,2,4,2,2,4,2,4,2,3,4,4,4,4,2,4,4,4,2,4,4,2,2,3,2,2,5,4,4,4,2,4,2,4,4,4,4,2,2,2,5,2,2,4,4,2,2,4,2,4,2,4,4,4,2,4,2,2,2,2,2,4,2,2,2,2,4,2,2,4,2,2,2,4,1,4,2,2,3,4,2,4,4,4,2,4,2,4,2,4,4,4,4,4,4,4,4,2,2,2,"research",0,0,TRUE,3.75,2.125,4.125,3.5,4,3.875,4.75,2.5,3.875,4.125,4,3,4,2.125,4,2.875,2,3,4,4,4.25,4.25,2.75,3.375,4,4.125,2.6875,4.0625,3.6875,3.1875,3.3125,4,TRUE,0.135001828245003,0.0675453753952447,15.6875,-0.0458454519592774,252.471427295721,152.346745707273,-252.471427295721,-152.346745707273,0.55,-0.55,0.105,0.223691933643123,3.1
"367",218795,2,1,5,4,4,3,1,2,5,4,5,3,2,2,4,2,3,2,2,2,1,2,4,4,3,3,5,2,4,3,4,2,2,3,4,3,2,2,2,4,2,2,2,3,4,2,2,2,1,5,5,4,5,4,1,2,4,2,5,4,4,2,4,2,4,5,5,4,5,4,1,3,4,4,1,4,2,3,1,4,4,2,4,4,4,3,2,5,3,2,2,2,1,4,4,4,2,4,1,4,3,4,4,2,2,3,2,4,4,4,5,4,3,4,1,3,4,4,4,3,5,2,1,4,2,3,5,4,4,4,1,2,2,4,5,2,2,2,1,1,5,1,4,1,4,2,1,3,2,2,1,4,4,4,1,5,4,3,2,2,4,4,2,3,1,2,2,2,1,4,1,2,1,2,1,3,2,2,2,3,3,2,5,3,4,3,2,2,1,5,2,3,2,4,4,4,5,2,1,1,"applicant",0,0,TRUE,4.25,1.875,5,3.875,4.125,2.5,4.75,2.125,4.125,3.5,4.5,3.75,2.375,2.75,4.375,3.5,3.625,3.5,4.125,3.25,4.75,4.25,4.125,2.75,4.125,3.875,2.5,4.5625,3.78125,4.09375,3.125,4.125,TRUE,0.923862153986202,0.975469945341732,16.9375,1.10145217108222,149.31669297144,133.307204259118,-149.31669297144,-133.307204259118,0.515,-0.515,0.245,0.323893235089556,2.925
"368",101383,2,1,5,4,4,3,2,2,4,2,4,4,3,3,2,4,3,2,3,3,2,2,3,4,4,3,4,4,5,4,4,2,2,3,4,2,2,2,4,3,2,3,2,2,3,2,1,2,2,4,4,4,5,4,1,4,4,2,4,4,3,3,2,4,3,2,3,2,4,4,2,4,3,4,2,4,2,2,4,4,4,2,3,4,4,5,4,3,3,1,3,2,2,3,3,3,2,3,1,4,4,2,3,1,2,4,2,4,2,3,4,3,2,5,1,2,3,3,2,3,4,2,1,2,1,2,4,4,4,4,1,1,1,4,3,2,4,3,3,2,3,3,4,2,4,4,2,4,1,4,3,4,4,2,1,5,4,3,3,2,4,4,4,4,2,4,3,2,2,4,1,1,1,4,2,3,4,4,1,1,2,3,4,4,4,4,3,4,1,3,1,2,3,4,4,3,4,3,3,2,"research",0,0,TRUE,3.625,2.375,4.5,3.375,4.625,3.375,3.625,2.25,3.75,2.875,4.25,4.375,3.125,2.5,2.75,2.875,3.375,3,3,2.875,3.75,3.25,3.625,3.25,3.5,3.34375,2.5,3.6875,3.09375,3.96875,3.5,3.5,TRUE,-0.436330005318187,-0.387802646970527,15.09375,-0.321661710924533,313.709659705065,180.912720984706,-313.709659705065,-180.912720984706,0.765,-0.765,0.135,0.134130812882063,2.935
"370",216410,2,1,5,4,4,4,1,4,4,2,4,3,2,2,4,4,2,4,3,1,3,4,3,5,2,4,5,4,3,3,4,2,1,2,4,4,2,2,4,4,2,4,4,2,2,4,2,2,2,2,4,4,2,5,2,3,3,1,4,4,2,2,5,4,4,2,4,2,2,1,2,3,5,2,2,4,4,5,3,2,4,4,4,4,4,4,3,2,4,1,2,2,2,2,4,1,2,4,2,4,2,5,5,2,2,3,3,2,4,4,4,2,4,2,2,4,5,1,4,5,5,3,2,4,4,2,5,4,3,3,2,5,1,4,3,4,2,4,2,4,3,4,4,4,4,3,4,4,4,4,2,4,4,3,2,2,4,4,2,2,3,2,2,5,3,4,4,5,2,4,2,2,3,2,1,4,1,4,4,5,2,2,4,4,2,4,2,4,2,5,4,2,4,4,2,2,5,2,2,2,"applicant",0,0,TRUE,4.25,2.625,4,3.5,2.5,2.75,4.375,2.875,4,2.25,3.625,2.375,2.875,2.75,3.625,2.75,3.125,2.125,3.875,2.5,3.25,2.125,3.375,4.375,3.625,3.84375,2.6875,3.71875,2.65625,3.15625,2.90625,3.625,TRUE,-1.15831386722946,-1.2670643717575,13.59375,-1.43239747593516,384.541607622157,331.445954537391,-384.541607622157,-331.445954537391,0.97,-0.97,0.155,0.0605341877360555,3.11
"371",216430,2,1,5,4,5,1,1,2,5,2,4,4,2,2,4,2,4,2,1,2,1,1,4,5,2,4,5,4,4,3,5,2,2,4,5,3,2,2,2,4,1,2,2,2,4,1,2,2,1,4,4,4,5,2,1,5,4,4,4,4,2,2,4,2,4,4,4,4,4,4,1,2,5,4,1,4,1,4,1,2,4,2,4,4,4,5,2,4,4,2,2,2,2,4,4,2,2,4,2,4,4,2,4,2,2,4,1,4,2,4,4,4,2,4,1,4,4,4,5,4,5,2,1,4,1,2,5,4,4,4,1,2,2,4,4,2,1,2,2,2,4,2,5,2,5,4,1,2,1,4,1,5,5,2,1,4,2,2,2,1,5,4,1,2,2,2,1,1,1,5,1,1,1,4,1,2,1,2,1,2,2,4,4,2,4,2,2,2,1,5,2,2,4,4,4,5,5,2,1,1,"applicant",0,0,TRUE,4.625,2,4.75,3.875,4.75,4,4.875,2.5,4.375,3.5,4.625,3.875,3.25,2.125,4,3.875,4.375,3.5,4.125,3.25,4.25,4.375,4.5,3.25,4.5,4.21875,2.46875,4.34375,3.90625,4.5625,3.65625,4.5,TRUE,1.39709912803726,1.67374600302151,18.21875,1.51967902278704,138.949185576079,129.689515343926,-138.949185576079,-129.689515343926,0.405,-0.405,0.305,0.391413382804056,2.855
"375",214601,2,1,5,4,5,2,1,2,5,4,4,3,2,1,3,3,4,2,3,2,2,1,4,4,3,4,4,2,4,3,5,2,2,3,4,3,3,2,3,4,2,2,2,2,5,2,2,2,2,4,4,4,5,2,1,3,4,2,4,4,3,2,3,2,4,3,4,2,5,4,1,3,4,2,2,4,1,4,1,4,4,2,3,4,3,4,3,3,3,2,3,4,2,4,4,2,2,3,2,3,4,2,2,2,2,4,1,4,3,4,4,2,2,4,2,3,2,4,1,4,4,4,2,3,1,2,5,4,4,3,1,2,2,4,4,2,2,3,3,2,4,2,4,2,4,3,2,4,1,4,1,4,5,2,1,4,3,2,2,2,4,3,2,4,2,2,2,2,2,4,1,2,1,3,1,3,1,2,1,2,2,3,4,3,3,3,2,3,1,5,2,2,3,4,4,4,4,2,1,2,"applicant",0,0,TRUE,3.875,2.625,4.25,3.5,4.75,3.75,4.625,2.25,4.375,3.25,4.375,3.75,3.125,2.25,3.5,3.375,3.75,3.25,3.375,2.5,4.125,4.25,3.75,3.375,4,3.75,2.40625,4.0625,3.59375,4.15625,3.53125,4,TRUE,0.521139929972448,0.659564946762542,16.6875,0.602177768584185,164.705233683085,121.078436453256,-164.705233683085,-121.078436453256,0.48,-0.48,0.16,0.289493334271071,2.83
"376",100068,2,1,5,4,5,2,2,4,4,4,4,4,4,3,4,4,4,2,2,3,2,2,4,4,2,4,4,3,4,4,4,4,2,4,4,3,4,2,2,3,2,1,5,4,4,2,2,2,2,4,4,4,4,2,2,4,4,4,4,4,2,2,2,2,3,4,4,4,4,3,2,4,4,2,2,3,2,4,2,2,4,2,4,4,3,4,3,2,3,4,3,2,2,4,4,2,2,4,2,3,4,2,4,2,2,4,2,5,3,4,4,2,2,4,2,4,4,3,4,4,4,5,2,2,1,1,4,4,3,4,2,2,2,4,3,3,1,5,2,2,3,1,4,2,4,3,2,4,2,4,1,4,4,4,1,4,2,2,3,1,4,4,2,2,2,3,2,2,2,4,2,4,2,4,2,3,3,2,2,2,2,3,4,2,4,2,2,4,2,4,2,2,4,4,4,4,4,2,2,2,"research",0,0,TRUE,4,2.625,4.125,2.875,4.25,4.125,4.125,3.125,3.75,4,4.125,4,3.75,2.5,3.375,3.375,3.875,4.25,4,3.875,3.875,3.75,4,3.5,4,3.96875,3.03125,3.78125,3.5,4.0625,3.96875,4,TRUE,0.269946914715437,0.386787990797698,16.25,0.103232334797904,148.112336582745,108.115047557976,-148.112336582745,-108.115047557976,0.43,-0.43,0.075,0.236697232489126,3.01
"377",101348,2,1,5,4,5,5,2,5,5,2,5,4,5,1,1,3,4,2,4,2,5,3,2,5,3,5,5,5,5,3,4,3,1,2,5,2,4,4,4,4,2,4,2,3,5,4,2,2,2,5,5,2,5,5,1,5,4,1,5,2,1,2,2,4,3,5,4,2,5,2,3,5,4,5,3,1,1,1,2,4,4,4,1,2,2,5,5,4,4,1,4,4,3,3,3,1,1,5,2,1,4,5,4,4,1,3,4,1,1,2,4,3,4,3,1,3,4,4,4,4,4,4,3,3,1,4,4,4,5,2,2,5,1,5,3,4,1,2,4,4,4,4,2,4,4,4,1,4,3,2,2,4,5,2,2,1,1,1,5,3,5,4,3,4,1,4,4,4,1,4,1,4,2,1,1,5,1,4,1,2,2,4,2,5,4,5,1,5,1,2,2,5,5,5,5,4,5,1,2,4,"research",0,0,TRUE,4.125,1.875,4.375,2,4.5,1.5,4.25,3.5,4.75,2,3.875,2.375,4.625,1.75,2,2.5,3.875,2.75,3.125,2.625,4,2.5,3,4,4.375,4.03125,2.4375,3.78125,2.25,3.8125,2.65625,4.375,TRUE,-1.0173640148179,-0.940951572638418,14.09375,-1.20244970905422,627.194208492693,332.948082390684,-627.194208492693,-332.948082390684,1.24,-1.24,0.4,0.0271706987103066,3.18
"378",100340,2,1,5,5,2,1,1,4,4,3,5,4,4,2,4,2,2,1,4,4,2,1,5,5,2,5,5,3,3,4,5,5,2,4,5,3,3,1,2,2,2,1,2,4,4,2,2,1,1,5,5,4,3,2,1,2,4,3,4,4,2,1,2,2,2,4,4,4,5,4,1,5,5,5,1,4,4,5,1,4,3,2,5,4,1,5,4,2,2,4,3,2,1,5,4,1,2,4,1,4,2,1,5,2,2,4,1,5,2,4,4,4,3,5,1,4,4,4,3,5,4,1,1,4,2,1,5,2,4,4,1,1,1,5,3,2,2,5,3,2,5,2,4,3,4,1,1,3,1,4,1,5,5,2,1,3,1,2,2,2,2,5,2,2,2,3,2,2,1,5,1,1,1,5,1,3,2,4,2,2,1,4,4,2,4,1,3,2,1,5,2,1,4,4,5,4,4,2,1,1,"research",0,0,TRUE,4.375,1.125,5,4,3.25,4.625,5,2.875,4,3.25,4.75,4,4.375,1.75,3.375,3.75,2.875,4.75,3.25,3.75,4.5,4.25,4.125,4.375,4.375,4.25,2.375,4.21875,3.8125,3.75,4.4375,4.375,TRUE,0.981962059796853,1.32611201034148,18.09375,1.21158380278671,231.144244281261,154.199719141251,-231.144244281261,-154.199719141251,0.64,-0.64,0.395,0.303729566343846,2.9
"379",216982,2,1,5,5,2,1,2,2,5,3,4,4,4,3,4,3,4,2,2,2,2,1,4,5,3,4,4,3,2,4,5,2,1,3,4,1,4,1,2,4,2,1,2,4,4,1,2,1,1,5,4,5,3,2,1,2,4,2,4,4,2,2,4,4,4,4,4,1,5,5,2,4,3,4,2,4,4,4,1,3,4,2,4,4,2,4,2,2,2,4,2,4,2,5,4,2,2,3,5,4,1,1,2,1,2,5,1,5,2,4,4,4,4,4,2,3,4,4,4,5,5,1,1,4,5,1,5,4,5,2,1,2,4,4,2,2,2,5,2,2,4,1,4,3,5,2,1,4,4,4,4,5,5,4,1,4,2,4,2,2,4,4,2,2,2,2,2,2,2,4,1,1,2,4,1,2,1,4,2,1,2,2,5,2,4,2,2,2,2,1,3,2,2,4,4,4,5,2,2,2,"applicant",0,0,TRUE,4.125,1.75,4.125,4,2.125,4.375,4.125,1.875,4.625,3.125,4.375,4.375,3.75,2.75,3.875,3.625,3.5,4.25,3.75,2.75,4.125,4.25,3.875,4,3.875,3.9375,2.28125,4.1875,3.75,3.46875,4.25,3.875,TRUE,0.604102435298646,0.835693705230733,17.3125,0.612263454738757,313.836958687966,257.324465194507,-313.836958687966,-257.324465194507,0.585,-0.585,0.27,0.267038881107983,2.935
"380",203160,2,1,5,5,3,1,1,2,5,4,5,5,4,3,5,2,2,2,1,3,1,2,4,5,3,4,4,2,3,4,5,2,1,3,4,1,4,2,1,4,2,2,5,5,5,1,2,2,1,4,5,4,4,2,1,3,4,3,4,5,1,2,5,1,3,5,5,2,5,4,1,3,4,4,1,4,3,4,1,4,4,2,2,5,2,3,2,3,1,2,1,1,1,3,4,2,2,3,2,4,3,2,5,2,1,4,1,5,1,4,5,2,4,4,1,5,4,3,4,4,5,1,1,2,2,2,5,3,4,4,1,2,1,3,2,2,2,4,1,1,4,2,4,1,5,1,1,2,3,4,1,4,5,2,1,4,1,4,2,3,4,5,1,1,1,3,2,2,1,4,1,2,1,3,1,3,1,3,1,1,1,2,5,2,3,3,1,2,1,5,2,2,4,5,5,5,4,1,1,1,"applicant",0,0,TRUE,4.375,1.75,4.75,3.875,3.5,4,5,2.375,4.625,3.375,4.375,4.75,4.625,3.125,4.375,3.625,2.875,3.875,5,4,4.75,3.875,4.125,3.375,4.75,4.75,2.8125,4.625,3.6875,3.71875,4,4.75,TRUE,1.17118986874396,1.44862442951985,17.96875,1.61087096973667,147.371675744227,156.370078863623,-147.371675744227,-156.370078863623,0.575,-0.575,0.42,0.335469927861514,2.785
"381",214554,2,1,5,5,3,1,1,4,5,4,4,4,3,3,3,3,4,2,2,1,2,1,3,5,4,5,5,3,4,4,5,3,2,3,4,2,3,2,4,3,2,2,3,4,3,2,2,2,2,4,5,5,5,2,3,4,4,3,3,5,4,2,3,2,4,5,5,4,4,4,1,3,2,1,1,4,1,5,3,2,4,2,2,5,4,5,3,3,3,3,2,3,2,3,4,2,1,4,1,3,3,2,4,2,2,4,1,5,2,5,4,3,4,5,2,4,4,3,5,4,4,2,1,3,1,2,5,4,4,3,2,2,2,3,3,3,1,5,1,3,3,1,4,2,5,3,1,4,2,4,1,4,5,4,2,3,3,3,2,2,4,4,2,3,3,3,2,2,2,4,1,2,1,4,1,3,2,4,2,2,3,2,4,3,5,3,3,2,2,3,2,4,3,4,4,4,5,1,1,2,"applicant",0,0,TRUE,3.75,2.25,5,3.625,4.25,4.25,4.375,3,4.25,3.375,3.75,4.25,3,2.875,3.25,3.25,3.875,4.125,4,3,3.625,3.75,4.125,3.25,4.25,3.78125,2.78125,4.03125,3.5,4,3.96875,4.25,TRUE,0.36684547237784,0.509660107969603,16.5,0.500189026730707,213.870448739342,191.133083808855,-213.870448739342,-191.133083808855,0.61,-0.61,0.25,0.242749564874478,3.01
"383",101315,2,1,5,5,3,2,1,1,5,3,5,2,3,2,5,4,4,2,3,4,1,1,4,5,3,5,4,3,3,2,5,1,2,3,5,2,2,2,2,4,3,2,2,4,4,2,2,1,3,5,4,4,4,5,1,4,3,2,4,4,3,2,4,1,3,4,4,2,5,4,1,3,4,5,1,4,4,2,2,5,4,1,4,5,4,5,4,3,2,1,1,2,1,5,4,2,2,3,1,3,3,3,4,1,2,4,1,3,4,4,4,4,3,4,2,3,3,4,5,5,5,2,1,2,3,2,5,5,4,5,1,4,4,4,4,2,4,2,2,2,5,1,5,1,5,1,1,2,3,2,1,5,5,4,2,4,4,4,2,2,4,4,2,4,2,4,1,3,1,4,1,2,1,1,1,2,2,4,2,2,1,3,5,3,4,5,2,3,2,5,2,3,3,3,4,4,4,4,3,2,"research",0,0,TRUE,4.125,1.5,4.75,3.625,3.25,2.375,4.75,1.5,4.125,3.5,4.5,3.5,2.625,2.5,4,3.625,3.125,3,3.75,3.25,4.375,4.25,4.5,3.625,3.375,3.8125,2.1875,4.3125,3.75,3.84375,3.125,3.375,TRUE,0.631516344031673,0.687361913214245,16.65625,0.786623248810676,297.693973815305,198.86320049978,-297.693973815305,-198.86320049978,0.76,-0.76,0.315,0.22742523348004,3.02
"384",217688,2,1,5,5,3,2,2,1,5,2,5,4,4,1,4,1,2,1,2,1,1,1,3,5,4,2,5,2,2,3,5,2,1,1,5,1,2,4,4,3,2,1,5,2,5,1,2,1,1,5,5,5,5,2,1,5,2,2,3,5,3,1,5,4,3,2,4,4,5,5,1,4,4,3,1,3,4,2,1,4,4,2,2,3,1,2,5,4,3,1,1,2,1,3,4,1,2,4,1,4,2,1,4,4,1,4,1,5,1,5,5,4,4,4,1,4,4,4,4,5,4,4,1,5,4,1,5,5,2,4,1,3,1,1,5,2,1,4,1,1,4,1,5,3,5,2,2,4,2,4,1,5,5,4,1,2,1,2,4,2,4,5,4,2,2,2,4,2,1,1,1,1,1,4,1,2,4,4,2,2,2,2,2,1,5,2,1,2,1,5,2,1,2,5,4,3,5,1,1,2,"applicant",0,0,TRUE,4.125,2.75,4.875,4.125,3.125,3.875,4.75,2.25,3.75,2.875,4.25,3.875,4.125,3.25,3.25,3.625,3.5,3.75,4.375,3.25,4.625,4.5,3.875,4.25,4.125,4.34375,2.875,4.125,3.78125,3.6875,3.9375,4.125,TRUE,0.706702010866224,0.842592683756883,17,1.12129741968677,361.215535716809,325.457642374214,-361.215535716809,-325.457642374214,0.885,-0.885,0.46,0.243825078981378,2.805
"385",101806,2,1,5,5,3,3,1,2,5,4,2,4,5,4,4,3,4,2,3,2,1,1,5,5,3,5,5,4,4,4,5,3,2,3,5,3,5,2,2,3,1,3,5,3,5,1,2,3,2,5,5,5,5,3,2,4,4,4,4,5,2,2,4,2,2,4,5,3,5,5,1,3,4,5,2,5,2,3,1,4,3,2,5,4,2,5,2,3,2,2,2,3,1,4,5,3,2,3,2,4,4,3,3,1,2,4,2,5,2,4,5,4,4,3,1,3,4,4,4,3,4,2,2,4,2,2,5,5,4,3,2,3,3,3,4,2,2,4,2,2,4,2,4,3,4,4,1,2,1,3,1,5,4,4,2,3,2,4,2,2,5,5,3,4,1,2,2,2,1,5,1,2,1,3,1,1,2,2,2,2,2,2,5,2,4,3,2,2,1,5,1,3,1,3,4,4,4,2,1,2,"research",0,0,TRUE,4,1.75,4.625,4.125,4.25,3.25,4.625,1.875,4,3.75,4,3.875,4.125,3,4.25,3.625,3.5,3.5,4.125,2.75,4.75,4.5,4.5,3.125,3.625,4.21875,2.34375,4.40625,4,4.0625,3.4375,3.625,TRUE,1.22386847715425,1.39407047099784,17.78125,1.09572539412822,255.470602712228,166.748702275143,-255.470602712228,-166.748702275143,0.6,-0.6,0.3,0.273451378277073,3.05
"386",218342,2,1,5,5,4,1,1,1,4,4,5,5,5,3,3,2,4,2,1,4,1,1,4,4,1,5,5,2,3,5,5,2,3,5,5,2,5,1,4,4,2,2,4,4,4,1,2,2,1,4,5,5,4,5,1,2,2,1,4,5,1,1,2,1,4,2,5,4,5,2,1,1,5,4,1,4,2,5,1,4,2,2,3,5,1,4,5,2,2,1,1,1,1,3,4,2,1,3,1,4,5,2,5,1,2,5,2,4,1,5,2,3,4,2,1,4,2,4,4,4,5,1,1,4,2,1,5,4,5,4,1,5,1,4,3,1,2,4,1,2,5,2,4,1,5,2,1,2,1,5,1,4,2,2,1,1,1,4,3,2,5,4,1,2,1,4,1,1,1,4,1,1,1,5,1,4,4,4,2,1,1,2,4,4,4,4,1,3,1,5,2,2,5,5,5,4,5,1,1,1,"applicant",0,0,TRUE,4.875,1.75,5,4.375,4.25,4.375,5,2,3,3.375,4.375,3.75,5,2.75,2.5,3.875,3.625,2.875,4.875,4,4.5,3.75,4.25,2.875,4.875,4.9375,2.625,3.75,3.84375,4.125,3.46875,4.875,TRUE,0.959891758360591,1.18808130885133,17.5,1.38679247359313,267.700616145331,237.693104077378,-267.700616145331,-237.693104077378,0.725,-0.725,0.5,0.295850017087981,2.835
"387",100185,2,1,5,5,4,1,1,2,5,2,4,2,2,2,4,4,2,1,2,2,1,2,3,4,2,4,4,2,4,3,5,4,2,2,4,2,3,4,2,4,1,2,2,3,4,3,3,2,2,4,4,4,4,3,1,2,4,2,3,2,2,3,4,2,3,3,5,4,5,2,1,3,4,4,2,4,1,4,1,3,4,2,3,3,4,3,2,3,3,2,2,2,1,3,3,2,2,3,2,3,4,2,5,1,2,4,1,4,4,5,5,4,4,3,1,4,4,2,4,4,5,2,2,3,1,2,5,4,4,4,1,4,3,2,4,4,1,4,1,2,5,4,3,2,4,4,1,3,1,3,3,4,4,2,1,2,3,3,1,2,4,3,1,2,2,4,2,1,1,2,1,2,1,3,1,3,2,3,1,2,2,3,4,3,4,2,1,3,1,4,2,3,3,5,5,5,5,2,1,2,"research",0,0,TRUE,4.25,2.5,4.375,3.75,4.5,3.625,4.75,2.375,4.125,2.875,4.25,2.875,2.875,3.375,4.25,3.25,3.5,3.5,4.375,3.5,4.625,2.75,3.625,3.125,4.5,4.0625,2.9375,4.34375,3.15625,3.96875,3.28125,4.5,TRUE,0.22487380974878,0.289063694516713,15.875,0.590554362207928,228.23402080791,146.863390683427,-228.23402080791,-146.863390683427,0.65,-0.65,0.24,0.262290593906648,2.81
"389",215704,2,1,5,5,4,1,1,2,5,4,4,5,5,1,4,1,4,1,1,2,1,1,5,4,1,4,4,1,4,2,5,2,2,4,4,2,5,1,2,4,2,2,4,2,5,1,1,2,1,5,5,5,4,2,1,4,4,2,3,1,1,1,3,1,2,3,5,4,5,5,1,4,5,2,1,5,2,5,1,2,3,1,3,3,1,5,2,2,2,1,1,1,1,5,5,1,2,2,2,5,4,1,5,1,1,4,2,4,1,4,4,4,4,3,1,4,4,5,5,3,5,2,1,5,2,2,5,2,4,4,1,2,1,4,2,1,2,4,1,1,5,1,5,2,4,3,1,1,2,4,1,5,5,1,1,2,1,2,2,1,4,5,1,2,2,1,1,1,1,5,1,1,2,4,1,2,2,1,1,2,1,2,4,2,4,2,1,3,1,5,2,2,3,3,5,4,5,1,1,1,"applicant",0,0,TRUE,4.625,2.25,4.75,5,4,4.125,5,2.5,4.25,3.625,4.125,3.375,5,2,3.625,4.5,3.25,3.625,4.875,3.625,4.75,5,4.875,3.375,4.375,4.875,2.59375,4.34375,4.53125,4.0625,3.625,4.375,TRUE,1.89146151278578,2.09558873867619,18.84375,2.02479933223025,200.401922158828,199.210300050957,-200.401922158828,-199.210300050957,0.64,-0.64,0.51,0.315834256354565,2.67
